,x_1,x_109,x_113,x_12,x_124,x_127,x_144,x_16,x_18,x_2,x_25,x_27,x_28,x_30,x_33,x_38,x_42,x_44,x_45,x_52,x_55,x_57,x_59,x_60,x_62,x_64,x_67,x_68,x_7,x_70,x_71,x_73,x_77,x_78,x_8,x_80,x_83,x_89,x_91,x_99,y
0,5099,1,5,156,35,-2,1,40,999,7,30,93,-46,1,14.57,-0.4,26,1272,0.29,2,0.01,-0.56,67,0,0.01,1,1,-0.01,220,237,1,0.11,629,14,487,-0.31,115,0.02,-0.1,-0.49,0
1,5191,0,1,164,16,1,5,4,999,5,39,94,-36,0,1.22,-0.04,24,481,-0.8,4,0.0,-0.56,94,0,0.01,1,1,-0.01,871,220,0,0.11,509,26,346,-0.31,317,0.02,0.24,-0.21,0
2,5228,1,0,774,75,1,5,12,999,4,25,94,-42,0,54.26,-0.04,12,722,-0.8,1,0.01,0.19,134,0,0.03,0,1,-0.05,415,130,0,0.11,1058,30,227,-0.31,464,0.02,-0.1,-0.21,0
3,5228,1,1,747,4,1,5,69,999,3,38,94,-42,0,35.49,-0.4,22,337,-0.8,3,-0.18,0.19,57,0,0.0,1,0,-0.01,794,226,1,0.11,1048,4,17,-0.31,39,-0.18,-0.1,-0.21,0
4,5196,1,5,29,28,0,4,32,999,6,47,93,-42,0,25.4,0.2,4,633,0.29,1,0.01,-0.13,103,0,0.0,0,1,0.06,308,49,0,0.11,993,22,58,-0.31,492,0.02,-0.1,0.21,0
5,4964,0,0,709,93,-1,1,25,999,0,32,94,-38,1,1.83,0.2,25,866,0.29,3,0.0,1.72,113,2,0.02,1,0,0.03,811,54,1,0.11,1616,2,128,0.35,370,0.02,0.24,-0.21,0
6,4964,1,6,524,44,-1,1,33,999,7,32,94,-38,0,27.19,0.2,3,1158,0.29,4,0.01,1.72,140,0,0.02,1,1,0.06,891,183,1,0.11,754,19,290,-0.31,5,0.02,0.24,0.21,0
7,5196,1,0,947,71,0,4,47,999,1,41,93,-42,0,16.49,0.2,12,1183,0.29,2,0.01,-0.13,180,0,0.01,1,0,0.06,87,100,0,-0.62,527,32,44,-0.31,229,0.02,-0.1,-0.66,0
8,5196,1,5,289,24,0,4,51,999,3,31,93,-42,0,14.11,0.13,16,552,0.29,1,0.0,-0.13,20,1,0.01,0,1,-0.01,780,72,0,0.11,603,4,68,0.35,365,0.02,-0.13,-0.21,0
9,5191,1,0,593,31,1,5,38,999,4,35,94,-36,0,9.37,-0.4,11,1244,-0.8,1,0.0,-0.56,119,0,0.02,0,1,0.03,446,77,0,-0.62,781,12,170,-0.31,183,0.02,-0.1,-0.49,0
